RaceID,Year,Driver,Team,QualiPos,RacePos
AustrianGrandPrix2021,2021,mazepin,haas,20,19
BritishGrandPrix2021,2021,hamilton,mercedes,1,1
BritishGrandPrix2021,2021,max_verstappen,red_bull,2,20
BritishGrandPrix2021,2021,bottas,mercedes,3,3
BritishGrandPrix2021,2021,leclerc,ferrari,4,2
BritishGrandPrix2021,2021,perez,red_bull,5,16
BritishGrandPrix2021,2021,norris,mclaren,6,4
BritishGrandPrix2021,2021,ricciardo,mclaren,7,5
BritishGrandPrix2021,2021,russell,williams,8,12
BritishGrandPrix2021,2021,sainz,ferrari,9,6
BritishGrandPrix2021,2021,vettel,aston_martin,10,19
BritishGrandPrix2021,2021,alonso,alpine,11,7
BritishGrandPrix2021,2021,gasly,alphatauri,12,11
BritishGrandPrix2021,2021,ocon,alpine,13,9
BritishGrandPrix2021,2021,giovinazzi,alfa,14,13
BritishGrandPrix2021,2021,stroll,aston_martin,15,8
BritishGrandPrix2021,2021,tsunoda,alphatauri,16,10
BritishGrandPrix2021,2021,raikkonen,alfa,17,15
BritishGrandPrix2021,2021,latifi,williams,18,14
BritishGrandPrix2021,2021,mick_schumacher,haas,19,18
BritishGrandPrix2021,2021,mazepin,haas,20,17
HungarianGrandPrix2021,2021,hamilton,mercedes,1,2
HungarianGrandPrix2021,2021,bottas,mercedes,2,16
HungarianGrandPrix2021,2021,max_verstappen,red_bull,3,9
HungarianGrandPrix2021,2021,perez,red_bull,4,17
HungarianGrandPrix2021,2021,gasly,alphatauri,5,5
HungarianGrandPrix2021,2021,norris,mclaren,6,15
HungarianGrandPrix2021,2021,leclerc,ferrari,7,18
HungarianGrandPrix2021,2021,ocon,alpine,8,1
HungarianGrandPrix2021,2021,alonso,alpine,9,4
HungarianGrandPrix2021,2021,vettel,aston_martin,10,20
HungarianGrandPrix2021,2021,ricciardo,mclaren,11,11
HungarianGrandPrix2021,2021,stroll,aston_martin,12,19
HungarianGrandPrix2021,2021,raikkonen,alfa,13,10
HungarianGrandPrix2021,2021,giovinazzi,alfa,14,13
HungarianGrandPrix2021,2021,sainz,ferrari,15,3
HungarianGrandPrix2021,2021,tsunoda,alphatauri,16,6
HungarianGrandPrix2021,2021,russell,williams,17,8
HungarianGrandPrix2021,2021,latifi,williams,18,7
HungarianGrandPrix2021,2021,mazepin,haas,19,14
HungarianGrandPrix2021,2021,mick_schumacher,haas,20,12
BelgianGrandPrix2021,2021,max_verstappen,red_bull,1,1
BelgianGrandPrix2021,2021,russell,williams,2,2
BelgianGrandPrix2021,2021,hamilton,mercedes,3,3
BelgianGrandPrix2021,2021,ricciardo,mclaren,4,4
BelgianGrandPrix2021,2021,vettel,aston_martin,5,5
BelgianGrandPrix2021,2021,gasly,alphatauri,6,6
BelgianGrandPrix2021,2021,perez,red_bull,7,19
BelgianGrandPrix2021,2021,bottas,mercedes,8,12
BelgianGrandPrix2021,2021,ocon,alpine,9,7
BelgianGrandPrix2021,2021,norris,mclaren,10,14
BelgianGrandPrix2021,2021,leclerc,ferrari,11,8
BelgianGrandPrix2021,2021,latifi,williams,12,9
BelgianGrandPrix2021,2021,sainz,ferrari,13,10
BelgianGrandPrix2021,2021,alonso,alpine,14,11
BelgianGrandPrix2021,2021,stroll,aston_martin,15,20
BelgianGrandPrix2021,2021,giovinazzi,alfa,16,13
BelgianGrandPrix2021,2021,tsunoda,alphatauri,17,15
BelgianGrandPrix2021,2021,mick_schumacher,haas,18,16
BelgianGrandPrix2021,2021,raikkonen,alfa,19,18
BelgianGrandPrix2021,2021,mazepin,haas,20,17
DutchGrandPrix2021,2021,max_verstappen,red_bull,1,1
DutchGrandPrix2021,2021,hamilton,mercedes,2,2
DutchGrandPrix2021,2021,bottas,mercedes,3,3
DutchGrandPrix2021,2021,gasly,alphatauri,4,4
DutchGrandPrix2021,2021,leclerc,ferrari,5,5
DutchGrandPrix2021,2021,sainz,ferrari,6,7
DutchGrandPrix2021,2021,giovinazzi,alfa,7,14
DutchGrandPrix2021,2021,ocon,alpine,8,9
DutchGrandPrix2021,2021,alonso,alpine,9,6
DutchGrandPrix2021,2021,ricciardo,mclaren,10,11
DutchGrandPrix2021,2021,russell,williams,11,17
DutchGrandPrix2021,2021,stroll,aston_martin,12,12
DutchGrandPrix2021,2021,norris,mclaren,13,10
DutchGrandPrix2021,2021,latifi,williams,14,16
DutchGrandPrix2021,2021,tsunoda,alphatauri,15,19
DutchGrandPrix2021,2021,perez,red_bull,16,8
DutchGrandPrix2021,2021,vettel,aston_martin,17,13
DutchGrandPrix2021,2021,kubica,alfa,18,15
DutchGrandPrix2021,2021,mick_schumacher,haas,19,18
DutchGrandPrix2021,2021,mazepin,haas,20,20
ItalianGrandPrix2021,2021,bottas,mercedes,1,3
ItalianGrandPrix2021,2021,hamilton,mercedes,2,17
ItalianGrandPrix2021,2021,max_verstappen,red_bull,3,18
ItalianGrandPrix2021,2021,norris,mclaren,4,2
ItalianGrandPrix2021,2021,ricciardo,mclaren,5,1
ItalianGrandPrix2021,2021,gasly,alphatauri,6,19
ItalianGrandPrix2021,2021,sainz,ferrari,7,6
ItalianGrandPrix2021,2021,leclerc,ferrari,8,4
ItalianGrandPrix2021,2021,perez,red_bull,9,5
ItalianGrandPrix2021,2021,giovinazzi,alfa,10,13
ItalianGrandPrix2021,2021,vettel,aston_martin,11,12
ItalianGrandPrix2021,2021,stroll,aston_martin,12,7
ItalianGrandPrix2021,2021,alonso,alpine,13,8
ItalianGrandPrix2021,2021,ocon,alpine,14,10
ItalianGrandPrix2021,2021,russell,williams,15,9
ItalianGrandPrix2021,2021,latifi,williams,16,11
ItalianGrandPrix2021,2021,tsunoda,alphatauri,17,20
ItalianGrandPrix2021,2021,mick_schumacher,haas,18,15
ItalianGrandPrix2021,2021,kubica,alfa,19,14
ItalianGrandPrix2021,2021,mazepin,haas,20,16
RussianGrandPrix2021,2021,norris,mclaren,1,7
RussianGrandPrix2021,2021,sainz,ferrari,2,3
RussianGrandPrix2021,2021,russell,williams,3,10
RussianGrandPrix2021,2021,hamilton,mercedes,4,1
RussianGrandPrix2021,2021,ricciardo,mclaren,5,4
RussianGrandPrix2021,2021,alonso,alpine,6,6
RussianGrandPrix2021,2021,bottas,mercedes,7,5
RussianGrandPrix2021,2021,stroll,aston_martin,8,11
RussianGrandPrix2021,2021,perez,red_bull,9,9
RussianGrandPrix2021,2021,ocon,alpine,10,14
RussianGrandPrix2021,2021,vettel,aston_martin,11,12
RussianGrandPrix2021,2021,gasly,alphatauri,12,13
RussianGrandPrix2021,2021,tsunoda,alphatauri,13,17
RussianGrandPrix2021,2021,latifi,williams,14,19
RussianGrandPrix2021,2021,leclerc,ferrari,15,15
RussianGrandPrix2021,2021,raikkonen,alfa,16,8
RussianGrandPrix2021,2021,mick_schumacher,haas,17,20
RussianGrandPrix2021,2021,giovinazzi,alfa,18,16
RussianGrandPrix2021,2021,mazepin,haas,19,18
RussianGrandPrix2021,2021,max_verstappen,red_bull,20,2
TurkishGrandPrix2021,2021,hamilton,mercedes,1,5
TurkishGrandPrix2021,2021,bottas,mercedes,2,1
TurkishGrandPrix2021,2021,max_verstappen,red_bull,3,2
TurkishGrandPrix2021,2021,leclerc,ferrari,4,4
TurkishGrandPrix2021,2021,gasly,alphatauri,5,6
TurkishGrandPrix2021,2021,alonso,alpine,6,16
TurkishGrandPrix2021,2021,perez,red_bull,7,3
TurkishGrandPrix2021,2021,norris,mclaren,8,7
TurkishGrandPrix2021,2021,stroll,aston_martin,9,9
TurkishGrandPrix2021,2021,tsunoda,alphatauri,10,14
TurkishGrandPrix2021,2021,vettel,aston_martin,11,18
TurkishGrandPrix2021,2021,ocon,alpine,12,10
TurkishGrandPrix2021,2021,russell,williams,13,15
TurkishGrandPrix2021,2021,mick_schumacher,haas,14,19
TurkishGrandPrix2021,2021,sainz,ferrari,15,8
TurkishGrandPrix2021,2021,ricciardo,mclaren,16,13
TurkishGrandPrix2021,2021,latifi,williams,17,17
TurkishGrandPrix2021,2021,giovinazzi,alfa,18,11
TurkishGrandPrix2021,2021,raikkonen,alfa,19,12
TurkishGrandPrix2021,2021,mazepin,haas,20,20
UnitedStatesGrandPrix2021,2021,max_verstappen,red_bull,1,1
UnitedStatesGrandPrix2021,2021,hamilton,mercedes,2,2
UnitedStatesGrandPrix2021,2021,perez,red_bull,3,3
UnitedStatesGrandPrix2021,2021,bottas,mercedes,4,6
UnitedStatesGrandPrix2021,2021,leclerc,ferrari,5,4
UnitedStatesGrandPrix2021,2021,sainz,ferrari,6,7
UnitedStatesGrandPrix2021,2021,ricciardo,mclaren,7,5
UnitedStatesGrandPrix2021,2021,norris,mclaren,8,8
UnitedStatesGrandPrix2021,2021,gasly,alphatauri,9,20
UnitedStatesGrandPrix2021,2021,tsunoda,alphatauri,10,9
UnitedStatesGrandPrix2021,2021,ocon,alpine,11,19
UnitedStatesGrandPrix2021,2021,vettel,aston_martin,12,10
UnitedStatesGrandPrix2021,2021,giovinazzi,alfa,13,11
UnitedStatesGrandPrix2021,2021,alonso,alpine,14,18
UnitedStatesGrandPrix2021,2021,russell,williams,15,14
UnitedStatesGrandPrix2021,2021,stroll,aston_martin,16,12
UnitedStatesGrandPrix2021,2021,latifi,williams,17,15
UnitedStatesGrandPrix2021,2021,raikkonen,alfa,18,13
UnitedStatesGrandPrix2021,2021,mick_schumacher,haas,19,16
UnitedStatesGrandPrix2021,2021,mazepin,haas,20,17
MexicoCityGrandPrix2021,2021,bottas,mercedes,1,15
MexicoCityGrandPrix2021,2021,hamilton,mercedes,2,2
MexicoCityGrandPrix2021,2021,max_verstappen,red_bull,3,1
MexicoCityGrandPrix2021,2021,perez,red_bull,4,3
MexicoCityGrandPrix2021,2021,gasly,alphatauri,5,4
MexicoCityGrandPrix2021,2021,sainz,ferrari,6,6
MexicoCityGrandPrix2021,2021,ricciardo,mclaren,7,12
MexicoCityGrandPrix2021,2021,leclerc,ferrari,8,5
MexicoCityGrandPrix2021,2021,tsunoda,alphatauri,9,20
MexicoCityGrandPrix2021,2021,norris,mclaren,10,10
MexicoCityGrandPrix2021,2021,vettel,aston_martin,11,7
MexicoCityGrandPrix2021,2021,raikkonen,alfa,12,8
MexicoCityGrandPrix2021,2021,russell,williams,13,16
MexicoCityGrandPrix2021,2021,giovinazzi,alfa,14,11
MexicoCityGrandPrix2021,2021,ocon,alpine,15,13
MexicoCityGrandPrix2021,2021,alonso,alpine,16,9
MexicoCityGrandPrix2021,2021,latifi,williams,17,17
MexicoCityGrandPrix2021,2021,mick_schumacher,haas,18,19
MexicoCityGrandPrix2021,2021,mazepin,haas,19,18
MexicoCityGrandPrix2021,2021,stroll,aston_martin,20,14
SãoPauloGrandPrix2021,2021,hamilton,mercedes,1,1
SãoPauloGrandPrix2021,2021,max_verstappen,red_bull,2,2
SãoPauloGrandPrix2021,2021,bottas,mercedes,3,3
SãoPauloGrandPrix2021,2021,perez,red_bull,4,4
SãoPauloGrandPrix2021,2021,gasly,alphatauri,5,7
SãoPauloGrandPrix2021,2021,sainz,ferrari,6,6
SãoPauloGrandPrix2021,2021,leclerc,ferrari,7,5
SãoPauloGrandPrix2021,2021,norris,mclaren,8,10
SãoPauloGrandPrix2021,2021,ricciardo,mclaren,9,19
SãoPauloGrandPrix2021,2021,alonso,alpine,10,9
SãoPauloGrandPrix2021,2021,ocon,alpine,11,8
SãoPauloGrandPrix2021,2021,vettel,aston_martin,12,11
SãoPauloGrandPrix2021,2021,tsunoda,alphatauri,13,15
SãoPauloGrandPrix2021,2021,raikkonen,alfa,14,12
SãoPauloGrandPrix2021,2021,giovinazzi,alfa,15,14
SãoPauloGrandPrix2021,2021,stroll,aston_martin,16,20
SãoPauloGrandPrix2021,2021,latifi,williams,17,16
SãoPauloGrandPrix2021,2021,russell,williams,18,13
SãoPauloGrandPrix2021,2021,mick_schumacher,haas,19,18
SãoPauloGrandPrix2021,2021,mazepin,haas,20,17
QatarGrandPrix2021,2021,hamilton,mercedes,1,1
QatarGrandPrix2021,2021,max_verstappen,red_bull,2,2
QatarGrandPrix2021,2021,bottas,mercedes,3,20
QatarGrandPrix2021,2021,gasly,alphatauri,4,11
QatarGrandPrix2021,2021,alonso,alpine,5,3
